run,period,condition,observable,h,in_i4_grid,n_games,N_anchored,alphabet_K,I_plugin_nats,I_MM_nats,I_MM_clamped_june29_nats,H_R_cond_MM_nats,T_vs_targetperm_nats,T_boot_sd_nats,T_ratio_h_over_h_plus_8,I_MM_own_targetperm_floor_nats,T_vs_own_floor_nats,T_own_ratio_h_over_h_plus_8
matched,2014-07,REAL,fromto,8,1,30000,742668,1792,1.289989,1.148229,1.148229,5.133941,0.794073,0.003412,1.305663,0.353584,0.794645,1.308135
matched,2014-07,REAL,fromto,12,1,30000,742668,1792,1.216284,1.063255,1.063255,5.387115,0.688298,0.003698,1.268997,0.375538,0.687717,1.268191
matched,2014-07,REAL,fromto,16,1,30000,742668,1792,1.164430,1.002443,1.002443,5.593455,0.608176,0.003507,1.252787,0.394979,0.607464,1.249101
matched,2014-07,REAL,fromto,20,0,30000,742668,1792,1.122002,0.952244,0.952244,5.760175,0.542395,0.003333,1.246515,0.409962,0.542282,1.244809
matched,2014-07,REAL,fromto,24,1,30000,742668,1792,1.085517,0.909400,0.909400,5.891794,0.485458,0.003737,1.239045,0.423079,0.486321,1.242703
matched,2014-07,REAL,fromto,28,0,30000,742668,1792,1.051303,0.869378,0.869378,5.997590,0.435130,0.003657,1.229605,0.433743,0.435634,1.230838
matched,2014-07,REAL,fromto,32,1,30000,742668,1792,1.020015,0.833552,0.833552,6.080246,0.391800,0.003954,1.230541,0.442211,0.391341,1.228151
matched,2014-07,REAL,fromto,36,0,30000,742668,1792,0.993063,0.802856,0.802856,6.143918,0.353877,0.003838,1.228149,0.448923,0.353933,1.229522
matched,2014-07,REAL,fromto,40,1,30000,742668,1792,0.965020,0.771633,0.771633,6.195590,0.318397,0.003841,1.241480,0.452990,0.318643,1.236062
matched,2014-07,REAL,fromto,44,0,30000,742668,1792,0.938649,0.742834,0.742834,6.234613,0.288139,0.003690,1.225813,0.454972,0.287862,1.222508
