element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ti	1	"312.6580"	"0.0004"	"312.65795"	"0.00006"	"1"	""		"1.05292613"	"5.0172669"	"3d2.4s2"	"a 3P"	"1"	"3d.4s2.4p"	"v 3P*"	"2"	3	5		""	"L10989"	
Ti	1	"312.7226"	"0.0004"	"312.72235"	"0.00005"	"5"	""		"1.46013860"	"5.4236631"	"3d3.(4F).4s"	"b 3F"	"4"	"3d2.4s.(4F).5p"	"r 3F*"	"4"	9	9		""	"L10989"	
Ti	1	"312.7427"	"0.0004"	"312.74271"	"0.00009"	"6"	""		"2.0169105"	"5.9801770"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"5"	"3d2.4s.(4F).5d"	"h 5G"	"6"	11	13		""	"L10989"	
Ti	1	"312.7562"	"0.0004"	"312.75559"	"0.00008"	"3"	""		"2.0922487"	"6.0553520"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"2"	"3d2.4p2"	"e 3D"	"3"	5	7		""	"L10989"	
Ti	2	"312.768374"	"0.000020"	"312.768376"	"0.000017"	"320bl"	""		"5.05836105"	"9.02130230"	"3d2.(3P).4p"	"y 4D*"	"7/2"	"3d2.(3P).5s"	"4P"	"5/2"	8	6		""	"u37"	
Ti	1	"312.7684"	"0.0004"	"312.7684"	"0.0003"	"13"	""		"1.9685072"	"5.931449"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"2"	"3d2.4s.(4F).5d"	"g 5H"	"3"	5	7		""	"L10989"	
Ti	2	"312.784991"	"0.000020"	"312.784983"	"0.000012"	"200"	"1.6e+08"	D	"3.86923825"	"7.83196911"	"3d2.(3F).4p"	"z 2F*"	"5/2"	"3d2.(3F).5s"	"e 2F"	"5/2"	6	6		"T2403n"	"u37"	
Ti	1	"312.790"	"0.003"	"312.78938"	"0.00008"	"5*"	""		"2.1170622"	"6.0797374"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"4"	"3d2.4p2"	"h 5D"	"4"	9	9		""	"c112"	
Ti	1	"312.790"	"0.003"	"312.7897"	"0.0003"	"5*"	""		"1.9807258"	"5.943397"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"3"	"3d2.4s.(4F).5d"	"h 5G"	"3"	7	7		""	"c112"	
Ti	2	"312.848334"	"0.000020"	"312.848327"	"0.000010"	"261"	"1.1e+08"	D	"3.90437619"	"7.86630473"	"3d2.(3F).4p"	"z 2F*"	"7/2"	"3d2.(3F).5s"	"e 2F"	"7/2"	8	8		"T2403n"	"u37"	
Ti	1	"312.86316"	"0.00012"	"312.86317"	"0.00011"	"8"	""		"2.1029508"	"6.0646914"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"3"	"3d2.4p2"	"h 5D"	"2"	7	5		""	"L10989"	
Ti	1	"312.90708"	"0.00012"	"312.90699"	"0.00011"	"8"	""		"2.1170622"	"6.0782480"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"4"	"3d2.4p2"	"h 5D"	"3"	9	7		""	"L10989"	
Ti	1	"312.9193"	"0.0004"	"312.91913"	"0.00007"	"0"	""		"1.0460073"	"5.0070395"	"3d2.4s2"	"a 3P"	"0"	"3d.4s2.4p"	"v 3P*"	"1"	1	3		""	"L10989"	
Ti	1	"312.9618"	"0.0004"	"312.96159"	"0.00004"	"4"	""		"1.44315262"	"5.4036473"	"3d3.(4F).4s"	"b 3F"	"3"	"3d2.4s.(4F).5p"	"r 3F*"	"3"	7	7		""	"L10989"	
Ti	1	"313.0166"	"0.0004"	"313.01672"	"0.00020"	"10"	""		"1.9807258"	"5.9405231"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"3"	"3d2.4s.(4F).5d"	"g 5H"	"4"	7	9		""	"L10989"	
Ti	1	"313.0383"	"0.0004"	"313.03772"	"0.00005"	"6"	""		"1.42975614"	"5.3892877"	"3d3.(4F).4s"	"b 3F"	"2"	"3d2.4s.(4F).5p"	"r 3F*"	"2"	5	5		""	"L10989"	
Ti	2	"313.079847"	"0.000020"	"313.079864"	"0.000014"	"385"	"8.2e+06"	D	"0.01166867"	"3.97066729"	"3d2.(3F).4s"	"a 4F"	"5/2"	"3d2.(3F).4p"	"z 2D*"	"5/2"	6	6		"T2403n"	"u37"	
Ti	1	"313.2709"	"0.0004"	"313.27079"	"0.00011"	"7"	""		"1.9968989"	"5.9534848"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"4"	"3d2.4s.(4F).5d"	"h 5G"	"4"	9	9		""	"L10989"	
Ti	1	"313.3122"	"0.0004"	"313.31224"	"0.00011"	"3"	""		"2.0850621"	"6.0411245"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"1"	"3d2.4p2"	"e 3D"	"1"	3	3		""	"L10989"	
Ti	1	"313.3187"	"0.0004"	"313.31866"	"0.00011"	"00"	""		"2.0850621"	"6.0410435"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"1"	"3d2.4p2"	"e 3D"	"2"	3	5		""	"L10989"	
Ti	1	"313.4397"	"0.0004"	"313.43952"	"0.00020"	"0"	""		"1.9807258"	"5.9351819"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"3"	"3d2.4s.(4F).5d"	"h 5G"	"2"	7	5		""	"L10989"	
Ti	1	"313.4668"	"0.0004"	"313.46669"	"0.00006"	"3"	""		"1.05292613"	"5.0070395"	"3d2.4s2"	"a 3P"	"1"	"3d.4s2.4p"	"v 3P*"	"1"	3	3		""	"L10989"	
Ti	1	"313.5052"	"0.0004"	"313.50379"	"0.00008"	"13"	""		"1.9968989"	"5.9505444"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"4"	"3d2.4s.(4F).5d"	"g 5H"	"5"	9	11		""	"L10989"	
Ti	1	"313.6025"	"0.0004"	"313.60248"	"0.00008"	"5"	""		"2.1029508"	"6.0553520"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"3"	"3d2.4p2"	"e 3D"	"3"	7	7		""	"L10989"	
Ti	1	"313.6140"	"0.0004"	"313.61385"	"0.00011"	"00"	""		"1.05292613"	"5.0051841"	"3d2.4s2"	"a 3P"	"1"	"3d.4s2.4p"	"v 3P*"	"0"	3	1		""	"L10989"	
Ti	1	"313.7367"	"0.0004"	"313.73656"	"0.00006"	"0"	""		"1.06655474"	"5.0172669"	"3d2.4s2"	"a 3P"	"2"	"3d.4s2.4p"	"v 3P*"	"2"	5	5		""	"L10989"	
Ti	1	"313.8627"	"0.0004"	"313.86252"	"0.00013"	"7"	""		"2.0169105"	"5.9660372"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"5"	"3d2.4s.(4F).5d"	"h 5G"	"5"	11	11		""	"L10989"	
Ti	1	"313.8826"	"0.0004"	"313.88247"	"0.00011"	"4"	""		"2.0922487"	"6.0411245"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"2"	"3d2.4p2"	"e 3D"	"1"	5	3		""	"L10989"	
Ti	1	"313.8890"	"0.0004"	"313.88890"	"0.00011"	"3"	""		"2.0922487"	"6.0410435"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"2"	"3d2.4p2"	"e 3D"	"2"	5	5		""	"L10989"	
Ti	1	"313.98753"	"0.00012"	"313.98748"	"0.00009"	"11"	""		"2.0169105"	"5.9644656"	"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"5"	"3d2.4s.(4F).5d"	"g 5H"	"6"	11	13		""	"L10989"	
Ti	1	"314.1004"	"0.0004"	"314.10047"	"0.00005"	"3"	""		"1.44315262"	"5.3892877"	"3d3.(4F).4s"	"b 3F"	"3"	"3d2.4s.(4F).5p"	"r 3F*"	"2"	7	5		""	"L10989"	
Ti	1	"314.15312"	"0.00012"	"314.15307"	"0.00006"	"12"	""		"0.8995494"	"4.8450239"	"3d2.4s2"	"a 1D"	"2"	"3d3.(2D2).4p"	"x 1P*"	"1"	5	3		""	"L10989"	
Ti	1	"314.16687"	"0.00012"	"314.16688"	"0.00008"	"9"	""		"2.1344363"	"6.0797374"	"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"5"	"3d2.4p2"	"h 5D"	"4"	11	9		""	"L10989"	
Ti	1	"314.3098"	"0.0004"	"314.30967"	"0.00004"	"1"	""		"1.46013860"	"5.4036473"	"3d3.(4F).4s"	"b 3F"	"4"	"3d2.4s.(4F).5p"	"r 3F*"	"3"	9	7		""	"L10989"	
